# NOTE: Obviously, the order of these variables cannot be changed.

diplomacy = {
# Declare War
	0
# Offer Alliance
	100
# Bring to Alliance
	100
# Join Alliance
	10
# Leave Alliance
	50
# Ban from Alliance
	50
# Influence Nation
	100
# Coup Nation
	5000
# Ask for Military Access
	50
# Cancel Military Access
	10
# Revoke Military Access
	10
# Assume Military Control
	0
# Cancel Military Control
	0
# Send Expeditionary Force
	0
# Guarantee Independence
	30
# Annex Nation
	0
# Puppet Regime
	0
# Demand Territory
	100
# Open Negotiations
	10
# Offer Non-Aggression Pact
	100
# Cancel Non-Aggression Pact
	1000
# Offer Trade Agreement
	0
# Cancel Trade Agreement
	0
# Cancel Peace Treaty
	100
# Sue for Peace
	0
# Release Puppet
	0
# Liberate Nation
	0
# Do not send expeditionary forces
	0
}
